Geographic Area,Year,Population
Goldston,2024,256
Graham,2020,17160
Graham,2021,17283
Graham,2022,18014
Graham,2023,18431
Graham,2024,19311
Grandfather Village,2020,97
Grandfather Village,2021,98
Grandfather Village,2022,98
Grandfather Village,2023,98
Grandfather Village,2024,99
Granite Falls,2020,4935
Granite Falls,2021,4938
Granite Falls,2022,4908
Granite Falls,2023,4934
Granite Falls,2024,4942
Granite Quarry,2020,2996
Granite Quarry,2021,3011
Granite Quarry,2022,3042
Granite Quarry,2023,3081
Granite Quarry,2024,3107
Grantsboro,2020,697
Grantsboro,2021,700
Grantsboro,2022,702
Grantsboro,2023,713
Grantsboro,2024,718
Greenevers,2020,567
Greenevers,2021,566
Greenevers,2022,571
Greenevers,2023,579
Greenevers,2024,587
Green Level,2020,3153
Green Level,2021,3176
Green Level,2022,3234
Green Level,2023,3310
Green Level,2024,3362
Greensboro,2020,295873
Greensboro,2021,297851
Greensboro,2022,301039
Greensboro,2023,303889
Greensboro,2024,307381
Greenville,2020,90953
Greenville,2021,91694
Greenville,2022,92733
Greenville,2023,93793
Greenville,2024,95138
Grifton,2020,2445
Grifton,2021,2472
Grifton,2022,2484
Grifton,2023,2501
Grifton,2024,2514
Grimesland,2020,389
Grimesland,2021,394
Grimesland,2022,395
Grimesland,2023,399
Grimesland,2024,401
Grover,2020,805
Grover,2021,809
Grover,2022,809
Grover,2023,812
Grover,2024,811
Halifax,2020,166
Halifax,2021,164
Halifax,2022,162
Halifax,2023,161
Halifax,2024,160
Hamilton,2020,302
Hamilton,2021,299
Hamilton,2022,294
Hamilton,2023,294
Hamilton,2024,294
Hamlet,2020,6020
Hamlet,2021,5990
Hamlet,2022,5968
Hamlet,2023,5897
Hamlet,2024,5888
Harmony,2020,549
Harmony,2021,562
Harmony,2022,572
Harmony,2023,585
Harmony,2024,613
Harrells,2020,160
Harrells,2021,159
Harrells,2022,160
Harrells,2023,161
Harrells,2024,163
Harrellsville,2020,85
Harrellsville,2021,84
Harrellsville,2022,82
Harrellsville,2023,81
Harrellsville,2024,82
Harrisburg,2020,18913
Harrisburg,2021,19313
Harrisburg,2022,19625
Harrisburg,2023,19962
Harrisburg,2024,20335
Hassell,2020,48
Hassell,2021,47
Hassell,2022,47
Hassell,2023,47
Hassell,2024,47
Havelock,2020,17916
Havelock,2021,17952
Havelock,2022,17762
Havelock,2023,17402
Havelock,2024,17407
Haw River,2020,2255
Haw River,2021,2269
Haw River,2022,2306
Haw River,2023,2356
Haw River,2024,2391
Hayesville,2020,457
Hayesville,2021,466
Hayesville,2022,472
Hayesville,2023,475
Hayesville,2024,481
Hemby Bridge,2020,1616
Hemby Bridge,2021,1646
Hemby Bridge,2022,1673
Hemby Bridge,2023,1719
Hemby Bridge,2024,1750
Henderson,2020,15060
Henderson,2021,14847
Henderson,2022,14869
Henderson,2023,14832
Henderson,2024,14807
Hendersonville,2020,15210
Hendersonville,2021,15268
Hendersonville,2022,15392
Hendersonville,2023,15521
Hendersonville,2024,15656
Hertford,2020,1940
Hertford,2021,1952
Hertford,2022,1966
Hertford,2023,1983
Hertford,2024,1992
Hickory,2020,43688
Hickory,2021,43791
Hickory,2022,44155
Hickory,2023,44560
Hickory,2024,45081
Highlands,2020,1074
Highlands,2021,1086
Highlands,2022,1099
Highlands,2023,1111
Highlands,2024,1119
High Point,2020,114767
High Point,2021,115091
High Point,2022,115774
High Point,2023,117598
High Point,2024,118601
High Shoals,2020,596
High Shoals,2021,603
High Shoals,2022,610
High Shoals,2023,617
High Shoals,2024,626
Hildebran,2020,1677
Hildebran,2021,1676
Hildebran,2022,1670
Hildebran,2023,1677
Hildebran,2024,1680
Hillsborough,2020,9657
Hillsborough,2021,9650
Hillsborough,2022,9791
Hillsborough,2023,9806
Hillsborough,2024,9773
Hobgood,2020,267
Hobgood,2021,266
Hobgood,2022,264
Hobgood,2023,261
Hobgood,2024,260
Hoffman,2020,419
Hoffman,2021,420
Hoffman,2022,422
Hoffman,2023,421
Hoffman,2024,422
Holden Beach,2020,911
Holden Beach,2021,929
Holden Beach,2022,928
Holden Beach,2023,932
Holden Beach,2024,919
Holly Ridge,2020,4243
Holly Ridge,2021,4451
Holly Ridge,2022,4898
