Geographic Area,Year,Population
Nash,2022,96364
Nash,2023,97319
Nash,2024,98790
Nash,2025,99365
New Hanover,2020,226449
New Hanover,2021,230167
New Hanover,2022,236065
New Hanover,2023,239877
New Hanover,2024,243335
New Hanover,2025,245959
Northampton,2020,17433
Northampton,2021,17118
Northampton,2022,16794
Northampton,2023,16709
Northampton,2024,16526
Northampton,2025,16491
Onslow,2020,204984
Onslow,2021,203512
Onslow,2022,206682
Onslow,2023,210955
Onslow,2024,214672
Onslow,2025,217175
Orange,2020,143748
Orange,2021,148919
Orange,2022,150554
Orange,2023,151717
Orange,2024,151745
Orange,2025,152498
Pamlico,2020,12308
Pamlico,2021,12362
Pamlico,2022,12255
Pamlico,2023,12431
Pamlico,2024,12688
Pamlico,2025,12758
Pasquotank,2020,40400
Pasquotank,2021,40633
Pasquotank,2022,40954
Pasquotank,2023,41370
Pasquotank,2024,41620
Pasquotank,2025,42201
Pender,2020,60614
Pender,2021,62974
Pender,2022,65638
Pender,2023,68315
Pender,2024,70150
Pender,2025,72111
Perquimans,2020,13024
Perquimans,2021,13129
Perquimans,2022,13243
Perquimans,2023,13369
Perquimans,2024,13474
Perquimans,2025,13490
Person,2020,39184
Person,2021,39168
Person,2022,39402
Person,2023,39819
Person,2024,40266
Person,2025,40636
Pitt,2020,173642
Pitt,2021,175482
Pitt,2022,177028
Pitt,2023,178776
Pitt,2024,180882
Pitt,2025,182936
Polk,2020,19378
Polk,2021,19701
Polk,2022,19998
Polk,2023,20032
Polk,2024,20388
Polk,2025,20533
Randolph,2020,144401
Randolph,2021,145152
Randolph,2022,146192
Randolph,2023,147787
Randolph,2024,148816
Randolph,2025,149516
Richmond,2020,42729
Richmond,2021,42654
Richmond,2022,42371
Richmond,2023,42115
Richmond,2024,42137
Richmond,2025,42041
Robeson,2020,115980
Robeson,2021,115889
Robeson,2022,116281
Robeson,2023,118005
Robeson,2024,119400
Robeson,2025,119941
Rockingham,2020,91201
Rockingham,2021,91261
Rockingham,2022,92013
Rockingham,2023,92535
Rockingham,2024,93670
Rockingham,2025,94195
Rowan,2020,146893
Rowan,2021,147701
Rowan,2022,149498
Rowan,2023,151833
Rowan,2024,153713
Rowan,2025,155096
Rutherford,2020,64370
Rutherford,2021,64523
Rutherford,2022,64856
Rutherford,2023,65380
Rutherford,2024,65579
Rutherford,2025,65745
Sampson,2020,59078
Sampson,2021,59052
Sampson,2022,59194
Sampson,2023,59984
Sampson,2024,61077
Sampson,2025,61504
Scotland,2020,33413
Scotland,2021,33331
Scotland,2022,33448
Scotland,2023,33544
Scotland,2024,33610
Scotland,2025,33322
Stanly,2020,62666
Stanly,2021,63156
Stanly,2022,64294
Stanly,2023,65846
Stanly,2024,67532
Stanly,2025,68830
Stokes,2020,44565
Stokes,2021,44632
Stokes,2022,45133
Stokes,2023,45505
Stokes,2024,45812
Stokes,2025,46126
Surry,2020,71386
Surry,2021,71282
Surry,2022,71536
Surry,2023,71564
Surry,2024,72066
Surry,2025,72287
Swain,2020,14107
Swain,2021,14134
Swain,2022,13982
Swain,2023,13959
Swain,2024,14047
Swain,2025,14024
Transylvania,2020,33255
Transylvania,2021,33492
Transylvania,2022,33637
Transylvania,2023,33930
Transylvania,2024,34209
Transylvania,2025,34211
Tyrrell,2020,3237
Tyrrell,2021,3377
Tyrrell,2022,3457
Tyrrell,2023,3505
Tyrrell,2024,3498
Tyrrell,2025,3537
Union,2020,239615
Union,2021,244459
Union,2022,249615
Union,2023,257474
Union,2024,263704
Union,2025,267674
Vance,2020,42554
Vance,2021,42128
Vance,2022,42203
Vance,2023,42359
Vance,2024,42602
Vance,2025,42638
Wake,2020,1130903
Wake,2021,1153051
Wake,2022,1173034
Wake,2023,1200630
Wake,2024,1229475
Wake,2025,1257235
Warren,2020,18606
Warren,2021,18835
Warren,2022,18691
Warren,2023,18739
Warren,2024,19055
Warren,2025,18898
Washington,2020,10976
Washington,2021,10884
Washington,2022,10788
Washington,2023,10719
Washington,2024,10650
Washington,2025,10638
Watauga,2020,54466
Watauga,2021,55302
Watauga,2022,55363
Watauga,2023,55362
Watauga,2024,54921
Watauga,2025,54786
Wayne,2020,117758
Wayne,2021,117416
Wayne,2022,118206
Wayne,2023,119731
Wayne,2024,121168
Wayne,2025,122278
Wilkes,2020,65871
Wilkes,2021,65812
Wilkes,2022,65807
Wilkes,2023,66024
Wilkes,2024,66252
Wilkes,2025,66233
Wilson,2020,79816
Wilson,2021,79263
Wilson,2022,79357
Wilson,2023,80246
Wilson,2024,80885
Wilson,2025,81150
Yadkin,2020,37250
Yadkin,2021,37287
Yadkin,2022,37531
Yadkin,2023,37867
Yadkin,2024,38223
Yadkin,2025,38325
Yancey,2020,18492
Yancey,2021,18759
Yancey,2022,18772
Yancey,2023,18918
Yancey,2024,19062
Yancey,2025,19084
